ingredient_name	ingredient_category	compound_name
cured_ham	meat	hexyl_alcohol
cured_ham	meat	isoamyl_alcohol
cured_ham	meat	isobutyl_alcohol
cured_ham	meat	l-arginine
cured_ham	meat	l-histidine
cured_ham	meat	l-phenylalanine
cured_ham	meat	l-tyrosine
cured_ham	meat	methyl_disulfide
cured_ham	meat	n-nonanal
cured_ham	meat	n-octanal
cured_ham	meat	n-valeraldehyde
cured_ham	meat	nonanoic_acid
cured_ham	meat	octanoic_acid
cured_ham	meat	oleic_acid
cured_ham	meat	palmitic_acid
cured_ham	meat	phenol
cured_ham	meat	phenylacetaldehyde
cured_ham	meat	pyridine
cured_ham	meat	trans,_trans-2,4-dodecadienal
cured_ham	meat	valeric_acid
cured_pork	meat	(e)-2-decenoic_acid
cured_pork	meat	1-decanol
cured_pork	meat	1-methyl-1-cyclopenten-3-one
cured_pork	meat	1-octanol
cured_pork	meat	1-octen-3-ol
cured_pork	meat	1-penten-3-ol
cured_pork	meat	2,3,5-trimethylpyrazine
cured_pork	meat	2,3-diethyl-5-methylpyrazine
cured_pork	meat	2,3-dimethylpyrazine
cured_pork	meat	2,3-pentanedione
cured_pork	meat	2,4,5-trimethyl_thiazole
cured_pork	meat	2,4-nonadienal
cured_pork	meat	2,5-dimethylpyrazine
cured_pork	meat	2,5-dimethylthiazole
cured_pork	meat	2,5_diethyl-3-methylpyrazine
cured_pork	meat	2,6-dimethylpyrazine
cured_pork	meat	2,6-dimethylpyridine
cured_pork	meat	2,6-xylenol
cured_pork	meat	2-acetyl-3-methylpyrazine
cured_pork	meat	2-decenal
cured_pork	meat	2-dodecenal
cured_pork	meat	2-ethyl-3,5(6)-dimethylpyrazine
cured_pork	meat	2-ethyl-3-methylpyrazine
cured_pork	meat	2-ethylpyrazine
cured_pork	meat	2-heptanone
cured_pork	meat	2-heptenal
cured_pork	meat	2-hexenal
cured_pork	meat	2-methoxy-4-methylphenol
cured_pork	meat	2-methoxy-4-propylphenol
cured_pork	meat	2-methoxy-4-vinylphenol
cured_pork	meat	2-methyl-1-propanethiol
cured_pork	meat	2-methyl-3-tetrahydrofuranthiol
cured_pork	meat	2-methylbutyraldehyde
cured_pork	meat	2-methylbutyric_acid
cured_pork	meat	2-methylpentanal
cured_pork	meat	2-methylpyrazine
cured_pork	meat	2-methyltetrahydrofuran-3-one
cured_pork	meat	2-methyltetrahydrothiophen-3-one
cured_pork	meat	2-nonanone
cured_pork	meat	2-nonenal
cured_pork	meat	2-octanone
cured_pork	meat	2-octenal
cured_pork	meat	2-pentanone
cured_pork	meat	2-pentylfuran
cured_pork	meat	2-undecenal
cured_pork	meat	3,5-diethyl-2-methylpyrazine
cured_pork	meat	3,5-dimethyl-1,2,4-trithiolane
cured_pork	meat	3,5-dimethyl-1,2-cyclopentadione
cured_pork	meat	3-(methylthio)_propionaldehyde
cured_pork	meat	3-(methylthio)propanol
cured_pork	meat	3-methyl-2-buten-1-ol
cured_pork	meat	3-methylbutyraldehyde
cured_pork	meat	3-octanone
cured_pork	meat	4-acetyl-2-methylpyrimidine
cured_pork	meat	4-methyl-2,6-dimethoxyphenol
cured_pork	meat	4-methyl-5-vinylthiazole
cured_pork	meat	4-methylthiazole
cured_pork	meat	4-propyl-2,6-dimethoxyphenol
cured_pork	meat	5-methylhexanoic_acid
cured_pork	meat	5h-5-methyl-6,7-dihydrocyclopenta(b)pyrazine
cured_pork	meat	6,10-dimethyl-5,9-undecadien-2-one
cured_pork	meat	9,12-octadecadienoic_acid_(48%)_plus_9,12,15-octadeca-_trienoinc_acid_(52%)_(methyl_esters)
cured_pork	meat	9-octadecenal
cured_pork	meat	a-phellandrene
cured_pork	meat	adipic_acid
cured_pork	meat	benzoic_acid
cured_pork	meat	benzyl_methyl_sulfide
cured_pork	meat	cyclopentanone
cured_pork	meat	d,l-methionine
cured_pork	meat	d-dodecalactone
cured_pork	meat	d-hexalactone
cured_pork	meat	d-octalactone
cured_pork	meat	decanal
cured_pork	meat	delta-tetradecalactone
cured_pork	meat	diacetyl
cured_pork	meat	diethyl_sulfide
cured_pork	meat	dimethyl_trisulfide
cured_pork	meat	disodium_5'-guanylate
cured_pork	meat	disodium_5'-inosinate
