"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","ingredient_category","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.925","0.0","0.3418803418803419","0.0","1","4",,"false","b-pinene","171.0","0","1","0","0.9917735042735042","false","0","b-pinene","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","methyl_2-thiofuroate","234.0","0","1","0","0.9934561965811965","false","0","methyl_2-thiofuroate","0","0.0"
"1.99375","0.0029192789968652062","0.5015673981191223","0.0","2","2",,"false","ethyl_acetate","202.5","0","2","0","0.9957532051282051","true","0","ethyl_acetate","25628","0.6336477987421384"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","2-isobutyl-3-methoxypyrazine","234.0","0","1","0","0.9934561965811965","false","0","2-isobutyl-3-methoxypyrazine","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","2-isobutyl-3-methylpyrazine","234.0","0","1","0","0.9934561965811965","false","0","2-isobutyl-3-methylpyrazine","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","maltol","234.0","0","1","0","0.9934561965811965","false","0","maltol","0","0.0"
"1.99375","0.0029192789968652062","0.5015673981191223","0.0","2","2",,"false","tolualdehydes,_mixed_o-,_m-,_p-","202.5","0","2","0","0.9957532051282051","true","0","tolualdehydes,_mixed_o-,_m-,_p-","25628","0.6336477987421384"
"1.99375","0.0029192789968652062","0.5015673981191223","0.0","2","2",,"false","2-methyl-3-butenal","202.5","0","2","0","0.9957532051282051","true","0","2-methyl-3-butenal","25628","0.6336477987421384"
"2.925","0.0","0.3418803418803419","0.0","1","4",,"false","dihydro-a-ionone","171.0","0","1","0","0.9917735042735042","false","0","dihydro-a-ionone","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","ethyl_acetoacetate","234.0","0","1","0","0.9934561965811965","false","0","ethyl_acetoacetate","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","methyl_furfuryl_disulfide","234.0","0","1","0","0.9934561965811965","false","0","methyl_furfuryl_disulfide","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","ethyl_butyrate","234.0","0","1","0","0.9934561965811965","false","0","ethyl_butyrate","0","0.0"
"1.99375","0.0029192789968652062","0.5015673981191223","0.0","2","2",,"false","myrcene","202.5","0","2","0","0.9957532051282051","true","0","myrcene","25628","0.6336477987421384"
"2.925","0.0","0.3418803418803419","0.0","1","4",,"false","n-octanal","171.0","0","1","0","0.9917735042735042","false","0","n-octanal","0","0.0"
"2.925","0.0","0.3418803418803419","0.0","1","4",,"false","ethyl-3-hydroxybutyrate","171.0","0","1","0","0.9917735042735042","false","0","ethyl-3-hydroxybutyrate","0","0.0"
"2.925","0.0","0.3418803418803419","0.0","1","4",,"false","p,a,a-trimethylbenzyl_alcohol","171.0","0","1","0","0.9917735042735042","false","0","p,a,a-trimethylbenzyl_alcohol","0","0.0"
"1.99375","0.0029192789968652062","0.5015673981191223","0.0","2","2",,"false","ethyl_formate","202.5","0","2","0","0.9957532051282051","true","0","ethyl_formate","25628","0.6336477987421384"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","methyl_phenyl_sulfide","234.0","0","1","0","0.9934561965811965","false","0","methyl_phenyl_sulfide","0","0.0"
"2.925","0.0","0.3418803418803419","0.0","1","4",,"false","ethyl_5-hexenoate","171.0","0","1","0","0.9917735042735042","false","0","ethyl_5-hexenoate","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","5,6,7,8-tetrahydroquinoxaline","234.0","0","1","0","0.9934561965811965","false","0","5,6,7,8-tetrahydroquinoxaline","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","3-methyl-2-buten-1-ol","234.0","0","1","0","0.9934561965811965","false","0","3-methyl-2-buten-1-ol","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","prenylthiol","234.0","0","1","0","0.9934561965811965","false","0","prenylthiol","0","0.0"
"1.99375","0.0029192789968652062","0.5015673981191223","0.0","2","2",,"false","skatole","202.5","0","2","0","0.9957532051282051","true","0","skatole","25628","0.6336477987421384"
"2.925","0.0","0.3418803418803419","0.0","1","4",,"false","2-pentenal","171.0","0","1","0","0.9917735042735042","false","0","2-pentenal","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","5-isopropyl-2-methylpyrazine","234.0","0","1","0","0.9934561965811965","false","0","5-isopropyl-2-methylpyrazine","0","0.0"
"2.925","0.0","0.3418803418803419","0.0","1","4",,"false","methyl_anthranilate","171.0","0","1","0","0.9917735042735042","false","0","methyl_anthranilate","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","2,3,5,6-tetramethylpyrazine","234.0","0","1","0","0.9934561965811965","false","0","2,3,5,6-tetramethylpyrazine","0","0.0"
"2.925","0.0","0.3418803418803419","0.0","1","4",,"false","(e)-2-hexenyl_hexanoate","171.0","0","1","0","0.9917735042735042","false","0","(e)-2-hexenyl_hexanoate","0","0.0"
"2.925","0.0","0.3418803418803419","0.0","1","4",,"false","3-methyl-2-butenal","171.0","0","1","0","0.9917735042735042","false","0","3-methyl-2-butenal","0","0.0"
"1.99375","0.0029192789968652062","0.5015673981191223","0.0","2","2",,"false","pyrrole","202.5","0","2","0","0.9957532051282051","true","0","pyrrole","25628","0.6336477987421384"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","o-(methylthio)phenol","234.0","0","1","0","0.9934561965811965","false","0","o-(methylthio)phenol","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","pyrrolidine","234.0","0","1","0","0.9934561965811965","false","0","pyrrolidine","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","2-acetyl-5-methylfuran","234.0","0","1","0","0.9934561965811965","false","0","2-acetyl-5-methylfuran","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","o-propylphenol","234.0","0","1","0","0.9934561965811965","false","0","o-propylphenol","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","2-acetylfuran","234.0","0","1","0","0.9934561965811965","false","0","2-acetylfuran","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","ethyl_valerate","234.0","0","1","0","0.9934561965811965","false","0","ethyl_valerate","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","resorcinol","234.0","0","1","0","0.9934561965811965","false","0","resorcinol","0","0.0"
"2.53125","0.0","0.3950617283950617","0.0","1","4",,"false","d-ribose","234.0","0","1","0","0.9934561965811965","false","0","d-ribose","0","0.0"
"1.99375","0.0029192789968652062","0.5015673981191223","0.0","2","2",,"false","methyl_benzoate","202.5","0","2","0","0.9957532051282051","true","0","methyl_benzoate","25628","0.6336477987421384"
"1.99375","0.0029192789968652062","0.5015673981191223","0.0","2","2",,"false","formic_acid","202.5","0","2","0","0.9957532051282051","true","0","formic_acid","25628","0.6336477987421384"
"1.99375","0.0029192789968652062","0.5015673981191223","0.0","2","2",,"false","4-methyl-2-pentanone","202.5","0","2","0","0.9957532051282051","true","0","4-methyl-2-pentanone","25628","0.6336477987421384"
